序号,主机,描述,地址
1,t-sz-dlcy-yygk-0001,部署nginx,192.200.16.136
2,t-sz-dlcy-yygk-0002,部署nacos,192.200.16.210
3,t-sz-dlcy-yygk-0003,部署minio文件存储,192.200.16.83
4,t-sz-dlcy-yygk-0004,部署jenkins,192.200.16.225
5,t-sz-dlcy-yygk-0005,部署git代码及仓库,192.200.16.86
6,t-sz-dlcy-yygk-0006,部署redis数据库,192.200.16.177
7,t-sz-dlcy-yygk-0007,部署禅道和版本工具,192.200.16.34
8,t-sz-dlcy-yygk-0008,部署inluxdb和elastic,192.200.16.97
9,t-sz-dlcy-yygk-0009,报表项目统一计算模块1,192.200.16.80
10,t-sz-dlcy-yygk-0010,报表项目统一计算模块2,192.200.16.143
11,t-sz-dlsgs-ythyy-0005,部署实时数据纠偏应用,192.200.16.175
,,数据库,192.168.16.154:5422
